service_id,date,exception_type
39393-_70R01-LAMJV,20210426,1
39393-_70R02-LAMJV,20210426,1
39393-_70R03-LAMJV,20210426,1
39393-_70R04-LAMJV,20210426,1
39393-_70R05-LAMJV,20210426,1
39393-_70R06-LAMJV,20210426,1
39393-_70R07-LAMJV,20210426,1
39393-_70R08-LAMJV,20210426,1
39393-_70R09-LAMJV,20210426,1
39393-_70R10-LAMJV,20210426,1
39393-_70R11-LAMJV,20210426,1
39393-_70R12-LAMJV,20210426,1
39393-_70R13-LAMJV,20210426,1
39393-_70R14-LAMJV,20210426,1
39399-_75R01-LAMJV,20210426,1
39399-_75R02-LAMJV,20210426,1
39399-_75R03-LAMJV,20210426,1
39399-_75R04-LAMJV,20210426,1
39399-_75R05-LAMJV,20210426,1
39399-_75R06-LAMJV,20210426,1
39402-_77R01-LAMJV,20210426,1
39402-_77R02-LAMJV,20210426,1
39402-_77R03-LAMJV,20210426,1
39402-_77R04-LAMJV,20210426,1
39402-_77R05-LAMJV,20210426,1
39402-_77R06-LAMJV,20210426,1
39402-_77R08-LAMJV,20210426,1
39402-_77R09-LAMJV,20210426,1
39402-_77R10-LAMJV,20210426,1
39402-_77R12-LAMJV,20210426,1
39402-_77R13-LAMJV,20210426,1
39402-_77R14-LAMJV,20210426,1
39402-_77R15-LAMJV,20210426,1
39584-__3001-LAMJV,20210426,1
39584-__3002-LAMJV,20210426,1
39584-__3003-LAMJV,20210426,1
39584-__3004-LAMJV,20210426,1
39584-__3005-LAMJV,20210426,1
39584-__3006-LAMJV,20210426,1
39584-__3007-LAMJV,20210426,1
39592-__3401-LAMJV,20210426,1
39592-__3402-LAMJV,20210426,1
39592-__3403-LAMJV,20210426,1
39592-__3404-LAMJV,20210426,1
39592-__3405-LAMJV,20210426,1
39592-__3406-LAMJV,20210426,1
39592-__3407-LAMJV,20210426,1
39592-__3408-LAMJV,20210426,1
39612-CITT01-LAMJV,20210426,1
39612-CITT02-LAMJV,20210426,1
39612-CITT03-LAMJV,20210426,1
39612-CITT04-LAMJV,20210426,1
39612-CITT05-LAMJV,20210426,1
39612-CITT06-LAMJV,20210426,1
39612-CITT07-LAMJV,20210426,1
39660-CITL01-LAMJV,20210426,1
39660-CITL02-LAMJV,20210426,1
39660-CITL03-LAMJV,20210426,1
39660-CITL04-LAMJV,20210426,1
39660-CITL05-LAMJV,20210426,1
39660-CITL06-LAMJV,20210426,1
39660-CITL07-LAMJV,20210426,1
39796-__7501-LAMJV,20210426,1
39796-__7502-LAMJV,20210426,1
39796-__7503-LAMJV,20210426,1
39796-__7504-LAMJV,20210426,1
39796-__7505-LAMJV,20210426,1
39796-__7506-LAMJV,20210426,1
39796-__7507-LAMJV,20210426,1
39796-__7509-LAMJV,20210426,1
39796-__7510-LAMJV,20210426,1
39796-__7511-LAMJV,20210426,1
39814-__8101-LAMJV,20210426,1
39814-__8102-LAMJV,20210426,1
39814-__8104-LAMJV,20210426,1
39814-__8105-LAMJV,20210426,1
39814-__8108-LAMJV,20210426,1
39814-__8109-LAMJV,20210426,1
39814-__8113-LAMJV,20210426,1
39847-__C801-LAMJV,20210426,1
39847-__C802-LAMJV,20210426,1
39847-__C803-LAMJV,20210426,1
39847-__C804-LAMJV,20210426,1
39847-__C805-LAMJV,20210426,1
